EntrezGeneID,logFC,logCPM,PValue,FDR
209737,2.681674289975072,2.9290266060084695,1.1559634737676592e-06,0.00021225162797397357
76964,-4.27716328136422,-0.6502607345635791,1.1684315131445015e-06,0.00021225162797397357
52530,1.5690801986157508,5.547827580175515,1.1960339858684409e-06,0.00021444212260158334
22776,-2.183218028267562,0.8043304065811939,1.2076277468704705e-06,0.00021444212260158334
60599,-1.2575143758552758,6.553424838698206,1.2841953496569087e-06,0.00022282352584470435
20677,1.5235499290347803,7.699871959161049,1.2889249814894279e-06,0.00022282352584470435
329739,-1.519925449392694,4.649768086116615,1.2971250555373829e-06,0.00022282352584470435
320297,-4.183750612852853,-0.10815993056982623,1.311886084264984e-06,0.00022293599651315924
20564,-1.3285311919106282,6.058143470805703,1.369853382663487e-06,0.0002303102431873803
17476,3.925417144636219,0.46249474349252195,1.4012964637923792e-06,0.00023311672961868172
18826,2.264153797111131,6.095877841795495,1.435056434863157e-06,0.0002362461655893472
52033,3.225738446008762,3.622252263792453,1.5289797975504935e-06,0.00024676637935979574
78748,2.0737818425071763,3.5156109521195074,1.532405386810678e-06,0.00024676637935979574
13400,-1.7977416273466926,6.657166468304266,1.5458030597709299e-06,0.00024676637935979574
14113,1.583623420414515,5.108102384880972,1.6316258948905837e-06,0.0002578621564285079
19283,-3.1591108408138227,4.344037253944167,1.686385812861758e-06,0.0002638776374897745
109731,2.770907953059799,3.1932060218685203,1.736717130331477e-06,0.00026908899537018293
218518,2.660649133556067,4.5926667534751475,1.8027182263064472e-06,0.0002766034839664766
66977,2.700638845283377,2.561383598061385,1.8548993555313557e-06,0.000281873359757861
56419,2.377625529853244,3.171725643992645,1.9177481344276447e-06,0.00028864849063328093
22354,-2.3012793929878974,5.677810790263461,1.994197711493586e-06,0.00029563713735866683
71874,5.994265081571247,2.10431417710431,2.0196064279496063e-06,0.00029563713735866683
211064,1.4463689771110202,4.0204375241565975,2.0202993441366752e-06,0.00029563713735866683
16906,1.8348878064790766,5.524365868329532,2.1581933233961844e-06,0.0003129182319537
12373,-1.7963252899914017,5.455345931676672,2.2572855265367828e-06,0.0003243103678307938
14181,-2.312177132636131,0.35506046154955606,2.294592888699669e-06,0.0003264940342758329
16590,3.7605680663266967,6.413382980605821,2.317217129428827e-06,0.0003264940342758329
14619,3.363019404864291,6.5408363261886935,2.3344612676011846e-06,0.0003264940342758329
14623,2.8439436680347185,4.851864376145446,2.3788167919899774e-06,0.00032977912790008423
23961,-1.8107396220297907,2.5079484523189186,2.4232326826636703e-06,0.000333015385363623
229595,-1.9554651004606631,4.555600531334375,2.4799352861778846e-06,0.00033756280627202925
235505,-1.991159715948247,4.583072115187347,2.5002492990137287e-06,0.00033756280627202925
74376,-2.428028083721166,-0.3387396138962831,2.52040060365094e-06,0.00033756280627202925
118449,-1.790281143999366,7.510186232368793,2.6418769348779167e-06,0.0003508590174689966
11941,-3.826980730725505,6.598835913806819,2.719090633507258e-06,0.0003581042364329059
20271,2.0747282784272696,4.601289552981659,2.7846369862258504e-06,0.00036370580934143255
331474,2.095493002358794,3.8646459270369005,3.0156968384218287e-06,0.00039065633470834906
76509,2.760218969774416,10.207031447071522,3.0415567181782146e-06,0.0003908029461308008
235036,1.5805282247666712,5.440593127437518,3.084666282398728e-06,0.0003931456929599153
