EntrezGeneID,logFC,logCPM,PValue,F,FDR
16580,0.9246113132317539,1.2286829636815406,0.04061625503561764,5.225208359073971,0.09530256964195942
330483,1.718314841053994,-1.1460312361911933,0.04061997653177921,4.982990499789658,0.09530256964195942
17427,0.9850864576825403,0.2229576827177335,0.04063584439706295,5.103093803993488,0.09532564715024237
242662,2.2340974896731733,-0.3356610592826877,0.04065609038535058,5.105613303724046,0.0953589867097181
11567,-0.6345485014714349,1.273770747487824,0.0406834580933244,5.222589885670018,0.09540901791169296
194744,-0.7155553353216441,0.20660849755048383,0.04069265627334366,5.221064523430981,0.09541643022906872
211986,-0.3210777845036659,4.039176174357431,0.040719587358131054,5.218335894917862,0.09546541442039803
68691,0.2990803646012782,5.629683325639169,0.04077170402317055,5.215134002981715,0.09557342188997142
235633,0.42810411686325295,4.959073017856223,0.04079173814399029,5.21390998569024,0.09560620341504117
240514,-0.2392803597960616,5.92698763099441,0.04084083137451624,5.210890890638693,0.09569516797454121
68628,0.2719208940193719,4.445242039933924,0.040841806377390565,5.210831769531826,0.09569516797454121
434437,-0.5456799387727181,3.0135162991934377,0.040943831799184725,5.2046758904899315,0.09591999966710872
26390,-0.24331850696632457,7.403126205432724,0.040968837794180646,5.203061443729621,0.09596435638049962
434394,1.0577617789456861,-0.897829311763377,0.040995559457965236,5.207750652518273,0.09601271809035013
98376,0.4423903747865315,2.7542920824536012,0.04101434545571476,5.200331996124545,0.09604248267626553
28018,0.33549513732095765,5.433685098870353,0.04103798585192652,5.198847692155346,0.09608360420797729
170460,-0.4236871625713073,4.5146635425833095,0.04105896933446391,5.197577064171975,0.09611849375823843
233876,0.4524214830280151,4.3276759498218365,0.041085487413046615,5.195965178531212,0.09616632746975544
237859,-0.3944772111048048,3.460133081434025,0.04122397276241673,5.187575012537833,0.09647618325740175
219189,0.2607561181196305,5.722544627746222,0.04126084401507828,5.185321934057289,0.09654428862543911
329502,2.8291919711373077,-0.11103051789062449,0.04126529167709701,5.0424265738269884,0.09654428862543911
241520,-0.4538725048622037,0.8943367469548544,0.04127460944346269,4.9374167330412595,0.09655179509243403
235344,-0.24350533219752316,4.748187759564655,0.041309215034711036,5.182402038072576,0.0966139404770673
66938,-0.3622495206122394,4.224565441034039,0.04131340228701726,5.1821593767656,0.0966139404770673
192976,0.7744626703697756,1.538529534458349,0.0413362914512485,5.181359986665994,0.09665316616297252
218314,-0.6949892953359839,0.6516919309955094,0.04136269577752856,5.18000330806503,0.09670059823492032
18628,0.7479072904598333,3.7644347533964395,0.041402843485260035,5.176765795658484,0.09676787965469268
15245,1.929278876197335,-1.5867487723069202,0.04140372071785826,5.3257111157047685,0.09676787965469268
230996,-0.38055362848350305,3.629095958105556,0.041460075687096365,5.173321476246613,0.09688526336816071
104346,-0.3745898432783029,3.679486266614811,0.041501298794456805,5.1708458183919115,0.09695281303214641
328263,-0.8008580697020995,-0.8843007161063254,0.041505886094411616,5.219718871759713,0.09695281303214641
13631,-0.19210715634388295,6.21879614087321,0.04150749748754206,5.170453385370874,0.09695281303214641
100043876,0.32158484196872883,5.97999806866555,0.04151352099395943,5.170091605427682,0.09695281303214641
328232,0.3372896216632392,4.0591169209293705,0.04154740070164532,5.168075494344205,0.09701760057458668
64138,0.2234856858083239,6.813410343444303,0.0416539601307151,5.161674018011541,0.09724037654499544
16211,0.24841641894701827,7.782323099198164,0.041655109415946544,5.161605203190591,0.09724037654499544
68744,-0.24455813325152664,6.062250760859955,0.04175481026694957,5.155650453031694,0.09745872418533022
67269,-0.3119915961697854,4.116534290065103,0.041816304688267095,5.151991171681869,0.09758784395944672
214742,-0.45126784000398984,3.5171422747944194,0.041828968546186195,5.151255333778679,0.09760298522130911
229905,-0.5765216334071149,2.7303647018043766,0.041911200842858876,5.146388584355412,0.0977753285882449
106143,0.20781426490662244,7.003187896918736,0.04191520192263726,5.146105813157078,0.0977753285882449
100503359,-0.4414821988836615,1.4797416651995399,0.04193552139817409,5.078855074869158,0.09780829105323838
20516,-0.29608727783983346,5.005594550799425,0.04194585772604053,5.144288893168406,0.09781256460476805
11488,0.6385750306634173,0.4880913511133113,0.04194973189642608,5.148390067116888,0.09781256460476805
216131,0.2372295425166883,6.701683233898982,0.041963306538238765,5.143251718684652,0.0978297826420306
30050,-0.25695544837157663,5.378346976135144,0.04199113303627283,5.141603152395273,0.0978802162987103
232078,-0.6135674070482062,2.4975247959202798,0.042042691238854006,5.13860931671333,0.09798484168747161
81904,0.4641817202648571,1.1345660335580794,0.04204841788942245,5.184902267397128,0.09798484168747161
13107,3.835023410996925,2.6494491526764787,0.0420615067740223,5.020809722559269,0.09800089238635537
13423,-0.5362740261333987,2.790037405413278,0.04207890022217462,5.136483968842122,0.09802696626050231
54447,-0.5090580390005437,4.144306822835834,0.0420937787389789,5.135539932872574,0.09804717453070338
239739,0.5165774235948918,1.4174385797879345,0.04210471278122649,5.13547637166888,0.09805421895313729
67278,-0.43367498285654016,2.4170407557828004,0.04210921184731351,5.134670527505169,0.09805421895313729
73724,-0.37877849934715413,4.043141498259937,0.04213796516803142,5.132927763512597,0.098106717960455
30878,-0.5673111085219463,5.666984326331569,0.042215558589897804,5.128504573533514,0.09827289555969139
57330,-0.3453937158172138,5.167640032875302,0.04224205048477843,5.126790892530601,0.09830696406484098
29864,0.2711363609010894,6.823345626477041,0.04224263433082353,5.126755619800371,0.09830696406484098
13611,-1.4361080048926649,-1.0878600277309127,0.04231678179430422,5.103147144619442,0.09846502053551
436332,1.5308381900434436,-1.1990433601753112,0.04233229826661857,5.093547894195616,0.09848662473217135
56699,0.37626790201808336,7.341997187045511,0.04234309195045182,5.120854686781978,0.09849723655945548
78244,0.2902822969072559,5.207889607573382,0.04236504238154683,5.119568211007661,0.09853379393641885
74479,-0.38090896351005915,3.9895188224488676,0.04238041370217789,5.1186825501703614,0.09855504092837249
20410,-0.26474510778434585,4.4952097543879015,0.04240820284007094,5.117047118604515,0.0986051548748685
56220,-0.3952312470030332,3.216236168328388,0.0424661575775936,5.11367751257516,0.09872538310625026
105785,0.33830679831474963,3.482831618514097,0.04250829817134893,5.111211768184063,0.098808816634799
13560,-0.38716444708007375,4.1392727696047755,0.042545556403768586,5.109021282475535,0.09888087844193512
93893,-0.8540533660293257,0.3608356006100016,0.04256545588233037,5.110140132983659,0.0989125812034038
