"","(Intercept)","CellTypeluminal","Statuspregnant","Statuslactate","CellTypeluminal:Statuspregnant","CellTypeluminal:Statuslactate"
"240726",-14.4661063025617,0.404553022118142,0.172981341848674,-0.412681287899177,-0.421132758011851,-2.47692776187494
"383491",-15.0147003362715,-0.0163472375046414,0.490535765073234,0.916905165700337,-0.921894046065951,-4.91992667577658
"17978",-9.31677578903405,-0.0695076256451159,0.247825001840285,0.473106345924135,-0.523999350924072,-0.885700245254705
"72265",-9.56909088801621,0.0240440308952987,-0.284133253162153,-0.445740482470013,1.11680556571553,2.03145832654611
"212442",-11.798805945582,0.0706473648550094,-0.405372090183438,0.0763664713855583,0.514564241134686,1.14801407005813
"14048",-11.8200082779954,-0.405617644697402,0.722308315104366,1.23834244155681,-5.26167735316912,-5.9642945089068
"17681",-13.7802022757727,-0.212127493366479,-2.31236583267229,-2.64608812562173,2.68115782272759,0.698755920670582
"21749",-11.7007197416585,0.0150420311580728,-0.265741364351653,0.0683313422764353,0.0442960765349092,0.150704442333208
"226866",-10.9442290220227,-0.308983270093584,-0.153392852616825,-0.463686360246719,-3.04004258918698,-5.2346793376798
"19989",-7.43870441781133,-0.174691694552434,-0.122930593063714,-0.345780820292827,0.212183734044611,-0.189280721351703
"98711",-10.0112012037217,0.169890881055768,0.276583953648023,0.299405112763651,-0.886815511760801,-2.13908847015458
"29819",-11.074744827798,-0.0241530510446175,0.224443324901799,0.158983303774477,0.0196813152118267,-0.121026732591186
"66799",-10.7721430586725,-0.0544149551007713,0.235010743891751,0.522361808663421,-0.45199827085807,-0.707024839107925
"67923",-9.44097596500135,-0.0547940710272705,0.188490615233901,0.1574075708584,-0.806361563736953,-0.768538445953203
"70397",-11.0456720368877,-0.0659839974219896,0.317659250804157,0.322018151247402,-0.0989165933038798,0.565770512649085
"17087",-13.2549047843417,0.173476664279192,0.0197583735704345,0.0732838507775373,1.23350224988946,1.19268333564957
"57339",-12.299149772525,-0.0600874976293984,0.528010682345386,0.199351295007887,-1.13090882205483,-0.480254044528907
"14545",-16.3529379618716,-0.0670598619032496,2.2925346686371,1.93893455694095,-2.63753180561973,-2.47051472320883
"94227",-12.2846656205846,-0.701496501393024,0.639382783477293,-0.0805545164321195,-3.57145226731489,-2.59646070514647
"83691",-11.1283546147286,-0.678241222433561,-0.205931646293012,-0.221856617520338,-3.44987837131375,-2.95984018287888
"21419",-9.66398961135816,-0.0844004751487173,0.0278224473424746,0.531007584819665,-2.30337410704889,-2.65102887570823
"241035",-15.1612049070135,0.376533617094468,-3.8728641768389,-2.22514436519158,2.25681286228774,-2.02425342874179
"17215",-9.83772209142961,-0.0888908704399007,-0.803266667551908,-2.20649412926943,0.423640014976847,2.09007708409839
"74229",-12.5136398037721,-0.106454419217121,-0.0209018647701562,-0.09558739417559,-2.69834346769504,-3.60686235458897
"71877",-13.0974341971589,0.051260473895006,-0.0356930555182249,0.522276058892533,-1.7518042265282,-2.24381667638211
