"","logFC.CellTypeluminal.Statuspregnant","logFC.CellTypeluminal.Statuslactate","logCPM","F","PValue","FDR"
"66259",-3.28121640490769,-3.10514873374744,4.44335782680268,83.0996206937233,4.44016779283685e-06,0.0011535882632364
"28146",1.70170547878495,3.53027820466703,8.77215586367958,82.8686639533755,4.47332632783645e-06,0.0011535882632364
"16416",-5.18453698994251,-5.86342411770149,4.93418480604147,82.7017365674001,4.58426104497499e-06,0.0011535882632364
"27224",0.794108228837159,2.69602243413067,7.12045407319292,82.2951773799072,4.59350290243859e-06,0.0011535882632364
"14345",2.67365748646138,5.11255675800546,3.99290643141718,82.2114286230843,4.62331071746068e-06,0.0011535882632364
"207212",-2.57854237993689,-4.45629584892713,6.96437460585384,81.6218074354884,4.74064405261789e-06,0.00116466684425008
"14077",4.82842179050186,6.70694078080443,9.29081795230843,81.0232568265749,4.88767351675945e-06,0.00118259482407775
"13400",-3.77156551334249,-5.22134655524273,6.65484415019033,80.233969117828,5.06144835220447e-06,0.0011983023580149
"269582",1.03776505358443,4.69239292793543,3.9241333348297,80.0068226097417,5.12799067175075e-06,0.0011983023580149
"16398",-1.66278941645188,-6.27663495167289,4.73196012414347,80.2840231602028,5.17771073348538e-06,0.0011983023580149
"231991",0.936444032726338,-4.67800769901083,4.85303042714774,78.9099516835264,5.41156753460038e-06,0.00123453317085762
"230145",2.35810733648563,4.46240905144446,2.52734219352405,77.6957493558701,5.81176731054991e-06,0.00123538678089089
"66270",1.07751534940568,2.48884035845379,7.58695110950534,77.0438320862148,5.90569048351335e-06,0.00123538678089089
"18104",-5.43567379267676,-3.69243707142996,4.30861965132695,77.4629288987151,5.92264458339887e-06,0.00123538678089089
"17912",-1.23918998616553,-2.53354792124836,5.72913933402325,76.9438589307468,5.93595121264275e-06,0.00123538678089089
"55979",0.938193954700776,2.2167307139381,5.69617797277013,76.9084548599308,5.94538317000179e-06,0.00123538678089089
"70082",-0.713962862666582,-2.96045870319531,3.45121086483301,77.0095671212879,5.95151076003092e-06,0.00123538678089089
"56356",-3.35257290894594,-2.89093647659874,3.64785218880639,76.947611305131,5.98040108568236e-06,0.00123538678089089
"71198",-0.693834707113914,-3.63968982105023,3.42799068272785,76.7787079492628,6.03420182287491e-06,0.00123538678089089
"69219",0.942948207857255,6.03367348480376,4.32861484214431,76.3643107589282,6.38500354223561e-06,0.00127473297107559
"69051",0.365065254466847,3.16699453787378,4.11092053153888,75.4857450020777,6.38603780362245e-06,0.00127473297107559
"54141",0.0372531278653045,4.06045675579424,3.97838262042304,74.8648245360415,6.60007699941352e-06,0.00128762601571757
"54189",-1.94049977214614,-3.10694484786927,5.31940929906726,74.7935922208325,6.61189387493524e-06,0.00128762601571757
"243362",-0.403408281810975,3.78938863034708,3.6177623095811,74.5130966604882,6.71733540993287e-06,0.0012923991465207
"320127",-5.26404298714437,-4.68188330656542,2.8735467942407,70.4862858187416,7.07354903242581e-06,0.00134323288375234
"15212",-3.30047320304836,-4.80704198878133,4.46791919468873,73.7299183923501,7.14977738862479e-06,0.00134323288375234
"207592",-2.39930127421497,-1.99879968312289,4.53699904061586,72.37546802444,7.49114934151471e-06,0.00135983958509436
"20932",1.15021627712441,2.42713983859411,8.47722172986346,72.3340815574235,7.50471136152546e-06,0.00135983958509436
"18799",-1.93541330100179,-4.85256156441037,3.88089375355476,72.2974444174656,7.70500475302399e-06,0.00135983958509436
