"logFC","logCPM","F","PValue","FDR","GeneID"
1.75284587768315,3.94986236197058,142.645370579224,3.48057276496295e-09,2.75034859887373e-06,"50786"
3.71302824136271,7.74524689111904,204.078980708647,4.66570658001928e-09,3.51127746622023e-06,"16878"
-2.54464132633637,3.73017534295812,193.68793844768,6.33532337411415e-09,4.55106593656818e-06,"67111"
2.73090632347083,6.44706143647692,192.967495835108,6.62520115037479e-09,4.55237734697927e-06,"11636"
3.30026268123539,4.47113444193855,188.700888770621,7.37920310900891e-09,4.85920524728237e-06,"228413"
1.88462127612989,8.73346691089323,176.795529519291,1.07773439768222e-08,6.81300576838789e-06,"20482"
1.96583216878376,7.25420406011142,174.492376818598,1.16306098918949e-08,7.06962148967334e-06,"17131"
1.71073240501546,5.0222116999753,172.921429967895,1.22765749619935e-08,7.1858885444202e-06,"20317"
-1.7114640271819,3.56671928890132,171.058009900254,1.31035572294706e-08,7.39602208766261e-06,"194126"
2.30122442432778,6.44446254294052,168.698777248868,1.41456654197133e-08,7.65120411402408e-06,"217166"
1.47453138676778,7.06224996198471,167.555817458306,1.47137055777362e-08,7.65120411402408e-06,"73847"
-3.4305425335476,3.44112257319719,167.038493391905,1.50080566650687e-08,7.65120411402408e-06,"21827"
2.09717852571631,4.93919557822008,165.988098370847,1.55407386940739e-08,7.67518232253575e-06,"16763"
3.40549517041818,3.26818376479266,158.57243055551,2.02475862759479e-08,9.51860070759125e-06,"20319"
1.99107571661373,4.90216632159037,158.243385513057,2.04778805402495e-08,9.51860070759125e-06,"101612"
-1.25751207120139,6.55348812201573,154.54033885841,2.34708536102554e-08,1.0172159924801e-05,"60599"
2.8278146801045,8.16833343527878,154.510194782165,2.34972371515337e-08,1.0172159924801e-05,"12977"
2.33769901046578,6.93456622197418,154.155402764602,2.38148517601643e-08,1.0172159924801e-05,"12654"
2.49609823906378,4.35460241995955,153.122248986906,2.47544911748764e-08,1.02952625928354e-05,"170770"
2.1916145019598,3.69427026353167,149.944627568045,2.85019107918812e-08,1.15498512347408e-05,"14299"
1.73227348050059,3.19176354232049,140.783846752262,3.33896734321175e-08,1.31251212284307e-05,"108897"
1.78242208833185,6.7568609132192,144.851969814982,3.40502385703402e-08,1.31251212284307e-05,"79362"
-2.03935906479306,4.94732936333997,142.357918428715,3.76130910357017e-08,1.3953827222365e-05,"66234"
2.33172957779397,6.89488172622488,142.132269960824,3.79659940876801e-08,1.3953827222365e-05,"12739"
