"logFC","logCPM","F","PValue","FDR","GeneID"
-2.08546379834032,6.85433565423529,304.977980816048,4.33823454623284e-10,8.26041671911611e-08,"18030"
-1.88598625602638,8.16273900231303,304.236832868246,4.40161341393144e-10,8.28132123735387e-08,"14667"
-2.81574724995868,3.94119168962531,305.115811022445,4.53731127229501e-10,8.4361961585118e-08,"72685"
-2.17613847923567,5.15937680781453,302.034257597206,4.59691882738372e-10,8.44764013348515e-08,"224617"
-3.54462182943648,7.86888803335192,301.057978574739,4.68607020834792e-10,8.5124889164058e-08,"24059"
2.39865397344896,4.21561513218988,297.306133903344,5.05056755300629e-10,9.01241977734297e-08,"71893"
-1.88272399113035,6.73796146144329,297.051501377379,5.07533130969074e-10,9.01241977734297e-08,"53381"
2.82152757036665,5.43547124363284,296.340737092787,5.1486668661539e-10,9.04105901696625e-08,"214791"
-2.86244218203655,4.0861293724278,293.84555222567,5.47592388692706e-10,9.51005506692255e-08,"17341"
3.09944501845418,6.44412623345994,292.230262904638,5.59583638719794e-10,9.61267372426916e-08,"216858"
-6.46656969052402,4.24366667058186,292.01910531288,5.86194281788162e-10,9.85044712687915e-08,"19227"
-2.8634525068896,4.34632728181721,289.741107598805,5.88780513825343e-10,9.85044712687915e-08,"97998"
-8.07156943051691,0.184005957064785,226.797749815755,5.95193453543509e-10,9.85044712687915e-08,"21960"
-1.78915913093169,6.85268432522547,288.949426982347,5.98356697152872e-10,9.85044712687915e-08,"140481"
-1.81502549369304,7.9263175526741,287.469291378201,6.1691841741388e-10,1.0051318215267e-07,"109154"
-1.82139046186194,5.12946545639235,285.061181367852,6.48584559605891e-10,1.04062875231043e-07,"69179"
2.09948891415086,7.47990988654874,284.326948266323,6.58596280510794e-10,1.04062875231043e-07,"13875"
1.75199733426993,5.55739798699191,284.236271154455,6.59870976473872e-10,1.04062875231043e-07,"54352"
-1.75542371858329,6.30083533347618,283.864169031553,6.65043685037668e-10,1.04062875231043e-07,"56738"
2.38906702581009,7.69991803952294,282.454883351512,6.84976164205737e-10,1.04861736495814e-07,"20677"
-2.32754560261867,5.63453005779727,282.216130580889,6.88711766885373e-10,1.04861736495814e-07,"209588"
-9.35239920407118,3.9706416557035,270.470841784789,6.90054454287814e-10,1.04861736495814e-07,"18546"
2.25632018341723,5.62706699862868,281.60854301073,6.97312361514056e-10,1.0495547201303e-07,"21808"
-3.6174931304105,2.02717274800636,276.63564473501,7.79303042492268e-10,1.161896724863e-07,"68312"
4.360321485943,6.31683559027093,275.463444021566,7.95349732546179e-10,1.16707759505152e-07,"13078"
2.05515908543593,7.24298715604854,275.313589837957,7.97547331470285e-10,1.16707759505152e-07,"68337"
