"logFC","unshrunk.logFC","logCPM","PValue","FDR","GeneID"
4.4315198106187,4.43477950666538,4.35178163161377,4.87113715462394e-09,5.92180396859052e-07,"665270"
-2.60576663553457,-2.60580030940254,8.02080617016407,5.03421604096779e-09,6.07333971843167e-07,"11676"
3.66134244459027,3.66198765655263,5.31877333803063,5.0828358390133e-09,6.08554072725502e-07,"18828"
3.59117780854535,3.59137535312973,8.16833343527878,5.30806719119409e-09,6.22242228196087e-07,"12977"
-3.62068728741234,-3.62940478820296,5.09268511850958,5.32412831605588e-09,6.22242228196087e-07,"24004"
2.05515908543593,2.05528283381996,7.24298715604854,5.35878352379204e-09,6.22242228196087e-07,"68337"
-3.33814616791114,-3.33884188420599,6.34515916317365,5.38957276998614e-09,6.22242228196087e-07,"16891"
-2.4023073734185,-2.4024043393417,7.31735318588393,5.39402589615692e-09,6.22242228196087e-07,"12390"
-3.41275094000697,-3.41539781322064,2.80413306950047,5.47511090154719e-09,6.23027927672578e-07,"74016"
-2.75685093023812,-2.75689599040675,7.69831087866472,5.47968121655837e-09,6.23027927672578e-07,"17829"
-4.71954900298695,-4.73631878558584,1.01679112697298,5.54483626455053e-09,6.25265319741725e-07,"240047"
2.24045553482213,2.24081042538388,6.7883523037285,5.57848709716421e-09,6.25265319741725e-07,"114774"
5.54248475553484,5.54535199984064,5.35002524800134,5.71851801024255e-09,6.36446891787839e-07,"70835"
-3.37101239201554,-3.37332256411991,2.37473190470912,6.03710249136728e-09,6.67205369045934e-07,"226999"
-1.81502549369304,-1.81505070741384,7.9263175526741,6.70659135842497e-09,7.36048401587141e-07,"109154"
-3.37623047539167,-3.37804477555451,2.84806136069605,6.91988484892606e-09,7.49584546868938e-07,"70377"
2.48558012686122,2.48571865830438,6.37651400666196,6.92478763875379e-09,7.49584546868938e-07,"12048"
-1.82139046186194,-1.82156146023906,5.12946545639235,7.15201167646735e-09,7.53825791428036e-07,"69179"
2.25021751926038,2.25038519023934,6.48475171290494,7.21967061163415e-09,7.53825791428036e-07,"17295"
2.73032901283639,2.73053656152191,5.84301415987131,7.23404811671882e-09,7.53825791428036e-07,"171210"
-2.58974163477546,-2.59014351488545,6.63986469219472,7.24345743585953e-09,7.53825791428036e-07,"11988"
-2.50080144794286,-2.50156133647815,4.11262937366728,7.24375753210876e-09,7.53825791428036e-07,"228607"
-1.78915913093169,-1.78938765207489,6.85268432522547,7.25015947209956e-09,7.53825791428036e-07,"140481"
-2.40212579593297,-2.40268285282149,4.04290331489091,7.35934863065207e-09,7.60177423260297e-07,"69051"
-2.26813420647351,-2.2683321801533,5.51827274188723,7.59378122838085e-09,7.78649497142937e-07,"21912"
-3.23672686077328,-3.23961452835627,3.58748063224529,7.63671678417838e-09,7.78649497142937e-07,"66805"
2.25884132668132,2.25892459799206,6.89488172622488,7.83889145724416e-09,7.94140003783889e-07,"12739"
-2.68610754029768,-2.68625609691575,6.8791867544254,8.13331056990397e-09,8.1748489140591e-07,"13010"
