,gene,logFC,SE,z,PValue,FDR
3307,XLOC_011001,1.6961354284933396,0.3035932339652546,5.586868344659676,2.312008628153149e-08,4.89626806823372e-06
2686,XLOC_008893,0.5873001865578046,0.10572912840108512,5.554762395561156,2.7798963422103524e-08,5.769396868623366e-06
6984,XLOC_033120,0.9649712428898404,0.1757985361764066,5.48907439093538,4.040454413132983e-08,8.22113636178058e-06
4874,TRINITY_DN466_c0_g1_i3.mrna1,0.25595450137958,0.04672034169949347,5.478438129281811,4.290965740040679e-08,8.56295220853887e-06
8710,XLOC_039478,0.32949698110150466,0.06030468016610292,5.463870800640013,4.658626576006557e-08,9.070040564634293e-06
1243,XLOC_004011,0.3346921859383761,0.06128150869917287,5.461552645209165,4.719882340659649e-08,9.070040564634293e-06
9659,XLOC_043259,-1.3784471110830112,0.25458806546679924,-5.414421561967421,6.148714942859507e-08,1.1462443947606343e-05
9027,XLOC_040925,2.5295135856541995,0.4672735478379918,5.413346416371949,6.185765260344561e-08,1.1462443947606343e-05
4382,XLOC_015112,0.794650798445815,0.1472442682976126,5.396819907717245,6.783241275541004e-08,1.2349069248471754e-05
974,XLOC_003118,-0.767828694421626,0.1424623147762982,-5.3896968866981485,7.05766205911775e-08,1.2627130894390497e-05
10317,XLOC_045639,0.3175751986343087,0.059001578179350846,5.38248651025834,7.346388403714423e-08,1.2920927536499077e-05
1449,XLOC_004670,0.4453291013972038,0.08305683652135486,5.361739262519403,8.242445530638043e-08,1.3993882319867744e-05
9860,XLOC_043943,0.2519838172247072,0.04701850897046438,5.359247299462343,8.356939624077825e-08,1.3993882319867744e-05
6966,XLOC_033097,-0.4157419110855878,0.07757595275440735,-5.359159589077275,8.36099743501783e-08,1.3993882319867744e-05
2551,XLOC_008362,-0.25605948839980164,0.048182394657469686,-5.314378627715318,1.0702188603628155e-07,1.76280335142618e-05
4408,XLOC_015228,0.4127658263876582,0.07778771362442959,5.306311333182406,1.1186582987929428e-07,1.7647293715516005e-05
964,XLOC_003105,0.1486078478909726,0.02800840879171168,5.305829724070187,1.1216162292944647e-07,1.7647293715516005e-05
4513,XLOC_015773,0.5011584572470534,0.09445659207058738,5.305701235468435,1.1224066543548776e-07,1.7647293715516005e-05
9997,XLOC_044287,0.9505206719148589,0.17931483151194016,5.300848033039397,1.152660060465901e-07,1.7852467832021872e-05
3102,XLOC_010300,0.6079262717020042,0.11486797147709821,5.292391463735472,1.207271212039044e-07,1.842331377548406e-05
4734,XLOC_016868,0.7364942815313482,0.1401169249472006,5.256283506142294,1.4699563190385738e-07,2.1739352182611084e-05
